timestamp,duration,memory
2191992,30,150
2192128,49,150
2192164,49,150
2192253,49,150
2192345,30,150
2192356,49,150
2192566,30,150
2192869,49,150
2192989,30,150
2193136,30,150
2193376,49,150
2193421,49,150
2193522,49,150
2193554,30,150
2194583,49,150
2194839,49,150
2195211,30,150
2195265,49,150
2195294,93,203
2195915,49,150
2195916,30,150
2196014,49,150
2196082,49,150
2196252,30,150
2196258,30,150
2196316,49,150
2196486,30,150
2196758,30,150
2196989,10,147
2197203,30,150
2197296,49,150
2197487,49,150
2197608,30,150
2198001,30,150
2198085,30,150
2198149,49,150
2198418,30,150
2198630,30,150
2198807,30,150
2198890,30,150
2198928,30,150
2198977,49,150
2199001,49,150
2199192,30,150
2199543,30,150
2199648,30,150
2200076,30,150
2200622,49,150
2200623,49,150
2200702,49,150
2200964,30,150
2201639,49,150
2201730,10,147
2201735,10,147
2201797,10,147
2201917,30,150
2202060,30,150
2202206,30,150
2202412,30,150
2202486,30,150
2203071,30,150
2203241,49,150
2203376,30,150
2203540,49,150
2203751,30,150
2203768,93,203
2204103,30,150
2204466,30,150
2204482,49,150
2204530,30,150
2204696,49,150
2205047,49,150
2205384,49,150
2205709,30,150
2205997,49,150
2206032,30,150
2206059,49,150
2206071,30,150
2206151,30,150
2206947,49,150
2206995,49,150
2207254,831,178
2207439,30,150
2207473,30,150
2207896,49,150
2207908,30,150
2208269,49,150
2208382,49,150
2208443,49,150
2208605,49,150
2208640,49,150
2208881,30,150
2209316,49,150
2209490,30,150
2209782,49,150
2209886,49,150
2210019,819,181
2210640,30,150
2211767,30,150
2212053,49,150
2212170,851,179
2212357,49,150
2212515,30,150
2212605,93,203
2212751,30,150
2213152,49,150
2213223,30,150
2213528,30,150
2213537,30,150
2213600,30,150
2213660,30,150
2213684,30,150
2214036,30,150
2214079,49,150
2214271,93,203
2214728,49,150
2214948,879,185
2214958,30,150
2215157,49,150
2215186,49,150
2215916,262,137
2215916,30,150
2216207,49,150
2216454,30,150
2216702,49,150
2216828,49,150
2217257,49,150
2217411,30,150
2217590,49,150
2217705,49,150
2217708,30,150
2217715,30,150
2217751,30,150
2218271,49,150
2218375,30,150
2218414,10,147
2218513,30,150
2219072,30,150
2219140,30,150
2219244,49,150
2219252,49,150
2219535,49,150
2219613,49,150
2219716,30,150
2219753,49,150
2219791,30,150
2220418,49,150
2220497,49,150
2220581,30,150
2220649,49,150
2220827,30,150
2220852,49,150
2221058,49,150
2221096,49,150
2221220,10,147
2221247,49,150
2221286,30,150
2221328,864,137
2221364,30,150
2221893,49,150
2221967,49,150
2222169,841,176
2222620,30,150
2222645,49,150
2222679,49,150
2222816,49,150
2222865,49,150
2223038,30,150
2223087,49,150
2223416,30,150
2223557,30,150
2223990,30,150
2224571,30,150
2224678,49,150
2224885,56,203
2224888,49,150
2224976,49,150
2225097,30,150
2225181,49,150
2225227,30,150
2225251,49,150
2225471,7373,375
2225943,49,150
2226072,49,150
2226129,30,150
2226831,49,150
2226961,30,150
2227435,831,178
2227470,49,150
2227502,30,150
2227580,49,150
2227906,30,150
2228017,49,150
2228138,49,150
2228396,796,375
2228555,30,150
2229220,30,150
2229234,30,150
2229320,30,150
2229444,30,150
2229730,30,150
2229834,30,150
2230423,30,150
2230549,49,150
2230612,812,177
2230688,49,150
2230760,851,179
2231085,49,150
2231374,13,109
2231452,30,150
2231640,49,150
2231704,49,150
2231723,49,150
2231762,49,150
2231847,49,150
2232026,49,150
2232030,49,150
2232301,49,150
2232433,30,150
2232573,30,150
2232587,30,150
2232733,49,150
2232764,924,179
2232945,49,150
2232997,30,150
2233552,30,150
2233594,30,150
2234408,4167,375
2234480,894,177
2234495,30,150
2234511,49,150
2234798,10,147
2234805,49,150
2234913,49,150
2235098,30,150
2235684,30,150
2235870,30,150
2236436,49,150
2236750,93,203
2236783,30,150
2236848,49,150
2236884,586,137
2236985,49,150
2237169,49,150
2237170,49,150
2237309,30,150
2237544,879,185
2237556,30,150
2237797,49,150
2237835,49,150
2237977,7373,375
2238291,49,150
2238509,30,150
2238719,30,150
2239133,30,150
2239350,30,150
2239395,30,150
2239493,30,150
2239618,5,127
2239812,49,150
2239828,120,95
2240232,49,150
2240418,30,150
2240536,49,150
2240652,30,150
2240663,894,177
2240937,30,150
2241085,835,128
2241324,49,150
2241376,30,150
2241724,30,150
2241738,49,150
2242142,30,150
2242269,30,150
2242373,49,150
2242437,30,150
2242524,30,150
2242602,30,150
2242609,30,150
2242712,49,150
2242797,30,150
2243181,30,150
2243233,49,150
2243508,49,150
2243857,49,150
2244023,49,150
2244056,30,150
2244174,49,150
2244426,49,150
2244732,93,203
2244996,93,203
2245042,30,150
2245266,30,150
2245383,30,150
2245419,49,150
2245506,30,150
2245601,30,150
2245602,49,150
2245750,30,150
2245801,49,150
2245926,651,137
2246098,30,150
2246694,10,147
2246989,30,150
2247079,49,150
2247095,49,150
2247100,49,150
2247150,30,150
2247225,49,150
2247290,6,147
2247302,49,150
2247315,30,150
2247405,49,150
2247896,49,150
2248001,30,150
2248167,30,150
2248789,49,150
2248931,30,150
2249051,49,150
2249530,49,150
2249588,819,181
2249604,30,150
2249616,49,150
2249620,30,150
2249700,41,150
2249715,30,150
2249815,30,150
2249841,30,150
2249899,93,203
2250069,30,150
2250299,30,150
2250318,30,150
2250495,49,150
2251006,49,150
2251075,10,147
2251289,30,150
2251384,30,150
2251421,919,185
2251475,30,150
2251494,30,150
2252004,49,150
2252584,49,150
2252740,30,150
2252766,49,150
2252793,30,150
2252966,30,150
2253249,30,150
2253261,49,150
2253271,49,150
2253458,30,150
2253478,49,150
2253549,93,203
2253855,30,150
2254982,30,150
2255019,30,150
2255032,49,150
2255420,30,150
2255564,30,150
2255830,49,150
2256006,49,150
2256248,30,150
2256499,49,150
2256526,49,150
2256675,49,150
2256947,93,203
2256951,49,150
2257011,49,150
2257043,49,150
2257166,49,150
2257209,49,150
2257511,49,150
2257543,30,150
2257794,30,150
2257982,49,150
2258019,49,150
2258092,30,150
2258278,49,150
2258340,49,150
2258427,49,150
2258478,49,150
2258540,49,150
2258670,10,147
2258690,49,150
2259236,831,178
2259326,879,185
2259362,10,147
2259546,49,150
2259692,49,150
2259731,49,150
2259853,49,150
2260098,30,150
2260109,30,150
2260165,30,150
2260212,10,147
2260259,1900,375
2260284,819,181
2260366,30,150
2260409,30,150
2260630,30,150
2260847,30,150
2261246,30,150
2261501,30,150
2262109,30,150
2262192,49,150
2262229,10,147
2262456,49,150
2262605,49,150
2262681,49,150
2262752,49,150
2263065,30,150
2263100,49,150
2263387,10,147
2263923,30,150
2263926,30,150
2264589,49,150
2264641,874,187
2264647,30,150
2264997,30,150
2265067,30,150
2265442,49,150
2265643,30,150
2265768,49,150
2265780,49,150
2265967,30,150
2266140,49,150
2266235,49,150
2266318,30,150
2266661,30,150
2267043,49,150
